QUARTER,AVG_UCAN_ARPU,AVG_EMEA_ARPU,AVG_LATM_ARPU,AVG_APAC_ARPU
2019-01-01,11.45,10.23,7.84,9.37
2019-04-01,12.52,10.13,8.14,9.29
2019-07-01,13.08,10.4,8.63,9.29
2019-10-01,13.22,10.51,8.18,9.07
2020-01-01,13.09,10.4,8.05,8.94
2020-04-01,13.25,10.5,7.44,8.96
2020-07-01,13.4,10.88,7.27,9.2
2020-10-01,13.51,11.05,7.12,9.32
2021-01-01,14.25,11.56,7.39,9.71
2021-04-01,14.54,11.66,7.5,9.74
2021-07-01,14.68,11.65,7.86,9.6
2021-10-01,14.78,11.64,8.14,9.26
2022-01-01,14.91,11.56,8.37,9.21
2022-04-01,15.95,11.17,8.67,8.83
2022-07-01,16.37,10.81,8.58,8.34
2022-10-01,16.23,10.43,8.3,7.69
2023-01-01,16.18,10.89,8.6,8.03
2023-04-01,16,10.87,8.58,7.66
2023-07-01,16.29,10.98,8.85,7.62
2023-10-01,16.64,10.75,8.6,7.31
2024-01-01,17.3,10.92,8.29,7.35
