QUARTER,TOTAL_REVENUE,PREVIOUS_REVENUE,GROWTH_RATE
2019-01-01,4520992000,,
2019-04-01,4923116000,4520992000,8.894596584
2019-07-01,5244905000,4923116000,6.536287181
2019-10-01,5467434000,5244905000,4.242765122
2020-01-01,5767691000,5467434000,5.491735245
2020-04-01,6148286000,5767691000,6.59874116
2020-07-01,6435637000,6148286000,4.673676534
2020-10-01,6644442000,6435637000,3.244511771
2021-01-01,7163282000,6644442000,7.808631635
2021-04-01,7341777000,7163282000,2.491804734
2021-07-01,7483467000,7341777000,1.929914243
2021-10-01,7709318000,7483467000,3.017999545
2022-01-01,7867767000,7709318000,2.05529205
2022-04-01,7970141000,7867767000,1.301182407
2022-07-01,7925589000,7970141000,-0.5589863467
2022-10-01,7852053000,7925589000,-0.9278300957
2023-01-01,8161503000,7852053000,3.94100753
2023-04-01,8187301000,8161503000,0.3160937391
2023-07-01,8541668000,8187301000,4.328251765
2023-10-01,8832825000,8541668000,3.408666785
2024-01-01,9370440000,8832825000,6.086557811
