QUARTER,UCAN_SHARE,EMEA_SHARE,LATM_SHARE,APAC_SHARE
2019-01-01,49.919376102,27.281158648,13.945434984,7.069289218
2019-04-01,50.805201421,26.793742012,13.754215826,7.099040526
2019-07-01,49.977072988,27.22718524,14.136271296,7.289054807
2019-10-01,48.869506244,28.579421352,13.651595977,7.647481433
2020-01-01,46.860624122,29.881524513,13.756856947,8.385678082
2020-04-01,46.186368038,30.781538139,12.773771422,9.25688883
2020-07-01,45.581268801,31.373475539,12.265825434,9.865239447
2020-10-01,44.842064992,32.164597117,11.867392326,10.303483724
2021-01-01,44.267027321,32.717879877,11.679660245,10.643361521
2021-04-01,44.058039355,32.696171513,11.725798809,10.889461775
2021-07-01,43.531921768,32.501499639,12.230921844,11.144593809
2021-10-01,42.919334758,32.732156074,12.506294331,11.294189707
2022-01-01,42.584179221,32.561093891,12.696715599,11.65202274
2022-04-01,44.388963759,30.830508519,12.926170315,11.388995502
2022-07-01,45.442237795,29.976497646,12.919481442,11.217298803
2022-10-01,45.781542738,29.930197873,12.950065416,10.910662473
2023-01-01,44.215446591,30.847761742,13.112682799,11.438126041
2023-04-01,43.963792219,31.294440011,13.159831305,11.228034733
2023-07-01,43.728379516,31.529509225,13.379248643,11.101063633
2023-10-01,40.69808923,31.513473889,13.087805996,10.899287601
2024-01-01,45.081287538,31.568987155,12.432799314,10.916499119
