QUARTER,TOTAL_UCAN_MEMBERS,TOTAL_EMEA_MEMBERS,TOTAL_LATM_MEMBERS,TOTAL_APAC_MEMBERS
2019-01-01,66633000,42542000,27547000,12141000
2019-04-01,66501000,44229000,27890000,12942000
2019-07-01,67114000,47355000,29380000,14485000
2019-10-01,67662000,51778000,31417000,16233000
2020-01-01,69969000,58734000,34318000,19835000
2020-04-01,72904000,61483000,36068000,22492000
2020-07-01,73081000,62242000,36324000,23504000
2020-10-01,73936000,66698000,37537000,25492000
2021-01-01,74384000,68508000,37894000,26853000
2021-04-01,73951000,68696000,38658000,27875000
2021-07-01,74024000,70500000,38988000,30051000
2021-10-01,75215000,74036000,39961000,32632000
2022-01-01,74579000,73733000,39610000,33719000
2022-04-01,73283000,72966000,39624000,34799000
2022-07-01,73387000,73534000,39936000,36228000
2022-10-01,74296000,76729000,41699000,38023000
2023-01-01,74398000,77373000,41249000,39478000
2023-04-01,75571000,79807000,42466000,40546000
2023-07-01,77321000,83760000,43645000,42427000
2023-10-01,80128000,88813000,45997000,45338000
2024-01-01,82658000,91729000,47720000,47495000
